# Region      : all region0
# Cells       : 2116
# Volume      : 8.635089e-08
# Time        	volAverage(nusseltOneMean)	volAverage(nusseltTwoMean)	volAverage(nusseltTotalMean)
30            	1.239270e+00	-1.000000e+00	2.239270e+00
35            	1.243603e+00	-1.000000e+00	2.243603e+00
40            	1.244311e+00	-1.000000e+00	2.244311e+00
45            	1.244484e+00	-1.000000e+00	2.244484e+00
50            	1.244571e+00	-1.000000e+00	2.244571e+00
55            	1.244623e+00	-1.000000e+00	2.244623e+00
60            	1.244657e+00	-1.000000e+00	2.244657e+00
