# Region      : all region0
# Cells       : 2116
# Volume      : 8.635089e-08
# Time        	volAverage(nusseltOneMean)	volAverage(nusseltTwoMean)	volAverage(nusseltTotalMean)
30            	1.094931e+00	-1.000000e+00	2.094931e+00
35            	1.098759e+00	-1.000000e+00	2.098759e+00
40            	1.099384e+00	-1.000000e+00	2.099384e+00
45            	1.099538e+00	-1.000000e+00	2.099538e+00
50            	1.099614e+00	-1.000000e+00	2.099614e+00
55            	1.099660e+00	-1.000000e+00	2.099660e+00
60            	1.099691e+00	-1.000000e+00	2.099691e+00
