# Region      : all region0
# Cells       : 2116
# Volume      : 8.635089e-08
# Time        	volAverage(nusseltOneMean)	volAverage(nusseltTwoMean)	volAverage(nusseltTotalMean)
30            	1.560358e+00	-1.000000e+00	2.560358e+00
35            	1.559959e+00	-1.000000e+00	2.559959e+00
40            	1.559883e+00	-1.000000e+00	2.559883e+00
45            	1.559842e+00	-1.000000e+00	2.559842e+00
50            	1.559824e+00	-1.000000e+00	2.559824e+00
55            	1.559810e+00	-1.000000e+00	2.559810e+00
60            	1.559802e+00	-1.000000e+00	2.559802e+00
