# Region      : all region0
# Cells       : 2116
# Volume      : 8.635089e-08
# Time        	volAverage(nusseltOneMean)	volAverage(nusseltTwoMean)	volAverage(nusseltTotalMean)
30            	1.759008e+00	-1.000000e+00	2.759008e+00
35            	1.758558e+00	-1.000000e+00	2.758558e+00
40            	1.758472e+00	-1.000000e+00	2.758472e+00
45            	1.758426e+00	-1.000000e+00	2.758426e+00
50            	1.758406e+00	-1.000000e+00	2.758406e+00
55            	1.758389e+00	-1.000000e+00	2.758389e+00
60            	1.758381e+00	-1.000000e+00	2.758381e+00
